nom,region,pop,delta
Afghanistan,Asia,30,3.1
Albania,Europe,3,-0.4
Algeria,Africa,38,1.6
Angola,Africa,21,3.4
Argentina,Americas,41,0.9
Armenia,Asia,3,-0.3
Australia,Oceania,23,1.4
Austria,Europe,8,0.5
Azerbaijan,Asia,9,1.2
Bangladesh,Asia,155,1.3
Belarus,Europe,9,-0.5
Belgium,Europe,11,0.7
Benin,Africa,10,3.1
Bolivia,Americas,10,1.8
Bosnia and Herzegovina,Europe,4,0.0
Brazil,Americas,199,1.1
Bulgaria,Europe,7,-0.9
Burkina Faso,Africa,16,2.9
Burundi,Africa,10,3.2
Cambodia,Asia,15,1.6
Cameroon,Africa,22,2.6
Canada,Americas,35,1.0
Central African Republic,Africa,5,1.8
Chad,Africa,12,3.4
Chile,Americas,17,1.0
China,Asia,1.351,0.6
Hong Kong,Asia,7,0.6
Colombia,Americas,48,1.5
Republic of the Congo,Africa,66,2.8
Democratic Republic of the Congo,Africa,4,2.7
Costa Rica,Americas,5,1.7
Ivory Coast,Africa,20,1.7
Croatia,Europe,4,-0.3
Czech Republic,Europe,11,0.2
Denmark,Europe,6,0.4
Dominican Republic,Americas,10,1.4
Ecuador,Americas,15,1.8
Egypt,Africa,81,1.7
El Salvador,Americas,6,0.5
Eritrea,Africa,6,3.7
Ethiopia,Africa,92,2.7
Finland,Europe,5,0.4
France,Europe,66,0.6
Georgia,Asia,5,0.2
Germany,Europe,82,0.0
Ghana,Africa,25,2.5
Greece,Europe,11,0.3
Guatemala,Americas,15,2.5
Guinea,Africa,11,2.2
Haiti,Americas,10,1.4
Honduras,Americas,8,2.0
Hungary,Europe,10,-0.2
India,Asia,1.237,1.4
Indonesia,Asia,247,1.4
Iran,Asia,76,1.2
Iraq,Asia,33,2.6
Ireland,Europe,5,1.6
Israel,Asia,8,1.9
Italy,Europe,61,0.6
Japan,Asia,128,0.0
Jordan,Asia,6,2.3
Kazakhstan,Asia,17,1.0
Kenya,Africa,43,2.7
North Korea,Asia,50,0.5
Kyrgyzstan,Asia,6,1.1
Laos,Asia,7,1.7
Lebanon,Asia,4,2.6
Liberia,Africa,4,3.1
Libya,Africa,6,1.4
Lithuania,Europe,3,-1.3
Madagascar,Africa,22,2.9
Malawi,Africa,16,2.8
Malaysia,Asia,29,1.8
Mali,Africa,15,3.1
Mauritania,Africa,4,2.8
Mexico,Americas,121,1.3
Moldova,Europe,4,-0.2
Morocco,Africa,33,1.0
Mozambique,Africa,25,2.7
Myanmar,Asia,53,0.7
Nepal,Asia,27,1.4
Netherlands,Europe,17,0.4
New Zealand,Oceania,4,1.2
Nicaragua,Americas,6,1.3
Niger,Africa,17,3.7
Nigeria,Africa,169,2.6
Norway,Europe,5,0.9
Pakistan,Asia,179,1.8
Panama,Americas,4,1.8
Papua New Guinea,Oceania,7,2.4
Paraguay,Americas,7,1.9
Peru,Americas,30,1.2
Philippines,Asia,97,1.8
Poland,Europe,39,0.0
Portugal,Europe,11,0.2
Romania,Europe,21,-0.4
Russia,Europe,144,-0.2
Rwanda,Africa,11,2.6
Saudi Arabia,Asia,28,2.8
Senegal,Africa,14,2.8
Republic of Serbia,Europe,7,-0.3
Sierra Leone,Africa,6,3.1
Singapore,Asia,5,2.3
Slovakia,Europe,5,0.0
Somalia,Africa,10,2.7
South Africa,Africa,51,1.3
South Sudan,Africa,11,4.1
Spain,Europe,46,1.1
Sri Lanka,Asia,20,0.5
Sudan,Africa,37,2.4
Sweden,Europe,10,0.6
Switzerland,Europe,8,0.9
Syria,Asia,22,2.6
Tajikistan,Asia,8,2.2
United Republic of Tanzania,Africa,48,2.8
Thailand,Asia,67,0.6
Togo,Africa,7,2.6
Tunisia,Africa,11,1.0
Turkey,Asia,74,1.3
Turkmenistan,Asia,5,1.2
Uganda,Africa,36,3.4
Ukraine,Europe,46,-0.6
United Arab Emirates,Asia,9,9.3
United Kingdom,Europe,63,0.6
United States of America,Americas,314,0.9
Uruguay,Americas,3,0.2
Uzbekistan,Asia,30,1.6
Venezuela,Americas,30,1.7
Vietnam,Asia,89,1.1
Western Sahara,Africa,4,2.7
Yemen,Asia,24,2.6
Zambia,Africa,14,2.8
Zimbabwe,Africa,14,0.8
